pid_l,pid_r
713153120200430,701370720200436
717012220160507,709170720160056
607010520170220,701271720150258
607091120170211,701252120170493
607131520180138,607131520180088
607210120190231,713050120190513
607070720190272,607070720190105
401516120170057,209010320170181
205010120170408,104090720170184
707010120170689,605231320170024
707080920200469,501130920200207
715073120190058,709130220190026
715071520170570,815014120174015
103111320200297,101474320200298
801031120170050,817070920170285
801170320180068,807070320180261
707051320150180,809092120150220
707051320150180,809090920150007
707071720180141,813130720180072
707070520170239,713072020170727
405095720220009,405095720220007
707070720210093,103052520210280
403311520150022,701402420150248
403252720170058,713132920170116
815053720170309,805151520170208
815650320160015,803191720160104
815014120181406,701350920180137
815011920210203,707020320210167
801231720220035,717071220220064
801050720220030,101374120220107
801050720220030,403135920220096
801253120170083,711071120172488
801250320170113,701393720170716
711054020170740,816071320170411
711030120170333,803171920170011
711071120171068,607190120170248
711071120174481,819030920170137
711080120172395,813250120170266
401512720220025,501070320220143
711054020190771,805111920190286
711030120171378,403256120170058
113111320150133,1011307201549984
403331920150166,701401620150867
403177120150022,713012120150130
117091720200081,113070520200032
111074320200052,111074320200051
815072320200111,817071520200247
815010920210086,805011920210006
815092320210153,807190220210081
815151120170272,711070120171301
815032120150161,701393720150391
815014120172142,809010520170239
815011520190290,115050120190220
815014120181697,817010120180137
815014120172948,809010520170300
713013520160742,805071520160393
605092320180135,605092320180045
509052220160215,713170120160555
509050320150122,701252320150156
509072520220047,101130320220153
511050220190076,511050220190175
403172920200025,601012720200099
302170420190018,301091520190011
302150720190014,221112120190126
605012520150027,701172520150125
713172320180180,711080920181085
713013520200467,711080720200152
117071120210123,117071120210125
201010520220039,801051320220015
819030720160059,815031720160308
709131320200076,211096320200070
709090420190338,709090420190263
709071120200106,711053720200645
111030320150147,403293320150095
111031920190098,111031920190038
111030520170185,109092120170098
816071720180226,823050120180126
816120320170268,711070920173341
816071320160068,711071120162930
816031320200028,815053320200059
811130520210109,707050120210104
811132720170103,701402120170139
101432920220001,709030520220001
101140520210369,113131920210108
101374120190010,403190920190057
101374120190010,403190920190219
511050320160178,701190120160241
115037520210089,103190720210073
701290720150289,715151120150034
